episode	win	lose	draw	epsilon	rate
1000	294	641	65	0.494999949999519	0.294
2000	427	505	68	0.48999989999903804	0.427
3000	523	417	60	0.48499984999855705	0.523
4000	550	394	56	0.47999979999807607	0.55
5000	579	355	66	0.4749997499975951	0.579
6000	633	301	66	0.4699996999971141	0.633
7000	658	269	73	0.4649996499966331	0.658
8000	657	288	55	0.45999959999615214	0.657
9000	680	256	64	0.45499954999567116	0.68
10000	697	239	64	0.4499994999951902	0.697
11000	709	237	54	0.4449994499947092	0.709
12000	716	226	58	0.4399993999942282	0.716
13000	710	235	55	0.43499934999374723	0.71
14000	721	220	59	0.42999929999326625	0.721
15000	743	210	47	0.42499924999278527	0.743
16000	752	188	60	0.4199991999923043	0.752
17000	775	177	48	0.4149991499918233	0.775
18000	759	197	44	0.4099990999913423	0.759
19000	763	178	59	0.40499904999086134	0.763
20000	725	221	54	0.39999899999038036	0.725
21000	754	184	62	0.3949989499898994	0.754
22000	757	202	41	0.3899988999894184	0.757
23000	766	190	44	0.3849988499889374	0.766
24000	790	159	51	0.3799987999884564	0.79
25000	808	148	44	0.37499874998797544	0.808
26000	782	170	48	0.36999869998749446	0.782
27000	789	168	43	0.3649986499870135	0.789
28000	813	146	41	0.3599985999865325	0.813
29000	802	156	42	0.3549985499860515	0.802
30000	776	173	51	0.34999849998557053	0.776
31000	790	165	45	0.34499844998508955	0.79
32000	792	161	47	0.33999839998460857	0.792
33000	801	148	51	0.3349983499841276	0.801
34000	826	136	38	0.3299982999836466	0.826
35000	809	143	48	0.3249982499831656	0.809
36000	827	126	47	0.31999819998268464	0.827
37000	823	138	39	0.31499814998220366	0.823
38000	827	145	28	0.3099980999817227	0.827
39000	840	123	37	0.3049980499812417	0.84
40000	848	117	35	0.2999979999807607	0.848
41000	839	130	31	0.29499794998027973	0.839
42000	851	117	32	0.28999789997979875	0.851
43000	867	105	28	0.28499784997931776	0.867
44000	855	112	33	0.2799977999788368	0.855
45000	863	101	36	0.2749977499783558	0.863
46000	860	109	31	0.2699976999778748	0.86
47000	872	99	29	0.26499764997739383	0.872
48000	869	99	32	0.25999759997691285	0.869
49000	874	98	28	0.25499754997643187	0.874
50000	866	99	35	0.24999749997595086	0.866
51000	889	84	27	0.24499744997544212	0.889
52000	884	86	30	0.23999739997493338	0.884
53000	873	109	18	0.23499734997442465	0.873
54000	887	85	28	0.2299972999739159	0.887
55000	881	96	23	0.22499724997340717	0.881
56000	903	68	29	0.21999719997289843	0.903
57000	885	84	31	0.2149971499723897	0.885
58000	914	70	16	0.20999709997188096	0.914
59000	905	70	25	0.20499704997137222	0.905
60000	899	81	20	0.19999699997086348	0.899
61000	890	87	23	0.19499694997035474	0.89
62000	892	90	18	0.189996899969846	0.892
63000	907	77	16	0.18499684996933727	0.907
64000	914	74	12	0.17999679996882853	0.914
65000	903	71	26	0.1749967499683198	0.903
66000	907	78	15	0.16999669996781105	0.907
67000	900	83	17	0.16499664996730232	0.9
68000	920	62	18	0.15999659996679358	0.92
69000	934	57	9	0.15499654996628484	0.934
