win:	lose:	draw:
50	45	3	2
100	46	4	0
150	43	2	5
200	44	5	1
250	43	3	4
300	44	3	3
350	43	5	2
400	42	4	4
450	44	4	2
500	43	5	2
550	42	4	4
600	42	5	3
650	47	1	2
700	42	5	3
750	38	5	7
800	45	3	2
850	46	2	2
900	45	1	4
950	41	1	8
1000	47	1	2
1050	47	0	3
1100	43	1	6
1150	46	2	2
1200	47	0	3
1250	46	1	3
1300	48	0	2
1350	42	2	6
1400	44	0	6
1450	45	3	2
1500	47	2	1
1550	44	3	3
1600	45	0	5
1650	45	1	4
1700	45	3	2
1750	46	1	3
1800	47	1	2
1850	44	2	4
1900	44	2	4
1950	43	0	7
2000	41	1	8
2050	37	4	9
2100	46	1	3
2150	43	0	7
2200	44	1	5
2250	46	1	3
2300	41	0	9
2350	39	2	9
2400	49	0	1
2450	48	0	2
2500	46	0	4
2550	41	2	7
2600	46	2	2
2650	45	1	4
2700	46	1	3
2750	45	1	4
2800	45	0	5
2850	44	2	4
2900	45	0	5
2950	45	1	4
3000	46	1	3
3050	45	3	2
3100	48	0	2
3150	48	0	2
3200	39	4	7
3250	48	0	2
3300	44	0	6
3350	45	2	3
3400	47	0	3
3450	45	0	5
3500	46	0	4
3550	44	1	5
3600	46	0	4
3650	44	2	4
3700	45	1	4
3750	47	2	1
3800	43	2	5
3850	45	0	5
3900	44	1	5
3950	42	2	6
4000	44	2	4
4050	46	0	4
4100	46	0	4
4150	44	1	5
4200	44	3	3
4250	41	1	8
4300	42	2	6
4350	43	2	5
4400	41	3	6
4450	43	1	6
4500	43	1	6
4550	44	0	6
4600	43	2	5
4650	43	1	6
4700	46	1	3
4750	46	1	3
4800	48	1	1
4850	46	2	2
4900	45	1	4
4950	48	0	2
5000	42	4	4
5050	47	0	3
5100	45	2	3
5150	43	2	5
5200	48	1	1
5250	43	1	6
5300	43	2	5
5350	44	0	6
5400	46	2	2
5450	46	0	4
5500	47	0	3
5550	43	0	7
5600	47	0	3
5650	45	0	5
5700	41	0	9
5750	44	2	4
5800	46	1	3
5850	43	2	5
5900	46	1	3
5950	43	0	7
6000	47	1	2
6050	43	1	6
6100	47	0	3
6150	45	0	5
6200	45	1	4
6250	47	0	3
6300	44	0	6
6350	49	0	1
6400	38	1	11
6450	44	0	6
6500	47	0	3
6550	41	1	8
6600	48	0	2
6650	45	1	4
6700	47	0	3
6750	42	1	7
6800	44	2	4
6850	46	0	4
6900	46	2	2
6950	46	1	3
7000	44	1	5
7050	46	0	4
7100	42	0	8
7150	45	0	5
7200	47	1	2
7250	44	1	5
7300	49	1	0
7350	43	2	5
7400	41	3	6
7450	45	1	4
7500	48	2	0
7550	47	0	3
7600	45	3	2
7650	45	0	5
7700	45	2	3
7750	49	0	1
7800	45	2	3
7850	49	0	1
7900	46	2	2
7950	46	1	3
8000	47	1	2
8050	43	3	4
8100	46	0	4
8150	44	1	5
8200	46	0	4
8250	46	1	3
8300	45	2	3
8350	43	3	4
8400	45	1	4
8450	44	2	4
8500	47	0	3
8550	46	0	4
8600	50	0	0
8650	46	0	4
8700	44	1	5
8750	43	3	4
8800	44	0	6
8850	45	1	4
8900	47	1	2
8950	44	1	5
9000	45	1	4
9050	44	1	5
9100	45	1	4
9150	47	0	3
9200	48	1	1
9250	46	2	2
9300	46	1	3
9350	44	2	4
9400	48	1	1
9450	40	0	10
9500	43	4	3
9550	48	1	1
9600	47	0	3
9650	43	4	3
9700	45	1	4
9750	42	3	5
9800	48	0	2
9850	46	1	3
9900	45	1	4
9950	46	2	2
10000	43	1	6
10050	45	1	4
10100	47	0	3
10150	45	0	5
10200	44	3	3
10250	46	1	3
10300	45	1	4
10350	43	1	6
10400	44	1	5
10450	43	1	6
10500	45	0	5
10550	47	2	1
10600	40	1	9
10650	41	3	6
10700	45	1	4
10750	45	1	4
10800	47	1	2
10850	49	0	1
10900	45	3	2
10950	48	0	2
11000	43	2	5
11050	49	1	0
11100	41	1	8
11150	41	1	8
11200	42	2	6
11250	47	1	2
11300	43	2	5
11350	47	0	3
11400	44	1	5
11450	46	0	4
11500	46	0	4
11550	46	1	3
11600	42	2	6
11650	48	0	2
11700	43	2	5
11750	47	1	2
11800	45	0	5
11850	44	1	5
11900	46	1	3
11950	49	0	1
12000	42	3	5
12050	49	0	1
12100	46	0	4
12150	39	4	7
12200	46	3	1
12250	41	1	8
12300	49	0	1
12350	47	1	2
12400	44	1	5
12450	42	1	7
12500	49	0	1
12550	47	0	3
12600	47	1	2
12650	45	3	2
12700	42	3	5
12750	42	2	6
12800	44	1	5
12850	46	0	4
12900	41	1	8
12950	44	1	5
13000	40	2	8
13050	46	2	2
13100	45	1	4
13150	45	0	5
13200	45	2	3
13250	47	1	2
13300	46	1	3
13350	41	2	7
13400	46	1	3
13450	44	2	4
13500	45	1	4
13550	44	1	5
13600	46	2	2
13650	45	2	3
13700	46	0	4
13750	48	0	2
13800	45	1	4
13850	43	0	7
13900	43	1	6
13950	45	1	4
14000	43	0	7
14050	45	1	4
14100	47	1	2
14150	45	1	4
14200	47	0	3
14250	48	1	1
14300	46	2	2
14350	45	1	4
14400	45	2	3
14450	44	3	3
14500	47	1	2
14550	45	0	5
14600	48	0	2
14650	47	1	2
14700	45	0	5
14750	45	1	4
14800	45	1	4
14850	42	2	6
14900	41	1	8
14950	40	1	9
15000	46	0	4
15050	42	1	7
15100	45	2	3
15150	45	0	5
15200	49	0	1
15250	45	0	5
15300	44	1	5
15350	44	1	5
15400	47	0	3
15450	49	0	1
15500	46	1	3
15550	46	0	4
15600	45	0	5
15650	45	1	4
15700	44	1	5
15750	43	1	6
15800	49	1	0
15850	42	1	7
15900	44	1	5
15950	42	0	8
16000	43	2	5
16050	44	4	2
16100	45	1	4
16150	45	1	4
16200	47	0	3
16250	48	1	1
16300	43	0	7
16350	46	0	4
16400	44	0	6
16450	45	2	3
16500	44	1	5
16550	44	0	6
16600	44	2	4
16650	50	0	0
16700	46	2	2
16750	44	3	3
16800	46	1	3
16850	46	0	4
16900	47	0	3
16950	46	0	4
17000	46	0	4
17050	46	0	4
17100	45	0	5
17150	41	1	8
17200	45	1	4
17250	46	0	4
17300	45	1	4
17350	43	0	7
17400	45	1	4
17450	44	3	3
17500	42	1	7
17550	48	1	1
17600	44	1	5
17650	48	2	0
17700	45	0	5
17750	45	2	3
17800	41	4	5
17850	46	1	3
17900	48	0	2
17950	44	0	6
18000	45	1	4
18050	46	3	1
18100	42	2	6
18150	43	2	5
18200	45	0	5
18250	46	3	1
18300	46	2	2
18350	44	2	4
18400	49	0	1
18450	46	0	4
18500	46	0	4
18550	46	1	3
18600	45	1	4
18650	46	2	2
18700	43	1	6
18750	42	2	6
18800	44	1	5
18850	48	1	1
18900	45	2	3
18950	42	0	8
19000	47	0	3
19050	45	2	3
19100	42	0	8
19150	48	0	2
19200	43	1	6
19250	43	0	7
19300	47	1	2
19350	43	1	6
19400	47	0	3
19450	48	1	1
19500	43	1	6
19550	42	1	7
19600	47	2	1
19650	47	2	1
19700	47	0	3
19750	45	2	3
19800	40	2	8
19850	43	1	6
19900	43	0	7
19950	42	1	7
20000	45	0	5
20050	39	1	10
20100	47	0	3
20150	44	3	3
20200	46	0	4
20250	47	0	3
20300	43	0	7
20350	42	1	7
20400	46	0	4
20450	45	0	5
20500	44	1	5
20550	45	3	2
20600	43	2	5
20650	45	1	4
20700	48	0	2
20750	44	2	4
20800	47	1	2
20850	42	2	6
20900	43	1	6
20950	48	0	2
21000	41	2	7
21050	48	0	2
21100	45	1	4
21150	41	2	7
21200	45	2	3
21250	48	0	2
21300	43	2	5
21350	47	1	2
21400	47	1	2
21450	48	0	2
21500	46	1	3
21550	44	1	5
21600	47	1	2
21650	44	4	2
21700	45	2	3
21750	44	0	6
21800	46	0	4
21850	46	0	4
21900	46	0	4
21950	43	0	7
22000	45	0	5
22050	45	1	4
22100	45	0	5
22150	45	0	5
22200	43	1	6
22250	48	1	1
22300	45	1	4
22350	48	0	2
22400	47	0	3
22450	47	0	3
22500	47	2	1
22550	43	1	6
22600	44	1	5
22650	46	1	3
22700	45	0	5
22750	44	1	5
22800	44	0	6
22850	43	2	5
22900	39	3	8
22950	43	2	5
23000	44	1	5
23050	46	0	4
23100	44	1	5
23150	43	1	6
23200	45	3	2
23250	48	0	2
23300	44	0	6
23350	47	0	3
23400	43	0	7
23450	42	0	8
23500	46	1	3
23550	45	2	3
23600	46	2	2
23650	43	2	5
23700	47	0	3
23750	46	0	4
23800	42	0	8
23850	42	2	6
23900	43	3	4
23950	43	1	6
24000	44	2	4
24050	46	1	3
24100	46	2	2
24150	41	2	7
24200	45	1	4
24250	48	0	2
24300	46	1	3
24350	48	0	2
24400	48	1	1
24450	46	0	4
24500	48	1	1
24550	47	0	3
24600	44	1	5
24650	45	2	3
24700	42	1	7
24750	47	1	2
24800	45	0	5
24850	43	1	6
24900	45	1	4
24950	44	1	5
25000	43	2	5
25050	42	3	5
25100	46	1	3
25150	45	3	2
25200	45	2	3
25250	44	1	5
25300	47	0	3
25350	46	3	1
25400	43	3	4
25450	44	1	5
25500	45	2	3
25550	45	2	3
25600	44	1	5
25650	46	2	2
25700	42	0	8
25750	43	1	6
25800	43	1	6
25850	47	1	2
25900	45	3	2
25950	46	1	3
26000	46	1	3
26050	48	1	1
26100	46	3	1
26150	44	0	6
26200	44	2	4
26250	46	2	2
26300	45	2	3
26350	46	0	4
26400	44	2	4
26450	46	1	3
26500	46	1	3
26550	46	0	4
26600	47	0	3
26650	47	1	2
26700	44	0	6
26750	43	1	6
26800	46	0	4
26850	46	1	3
26900	48	1	1
26950	43	2	5
27000	45	0	5
27050	45	1	4
27100	47	1	2
27150	46	0	4
27200	42	2	6
27250	49	0	1
27300	46	0	4
27350	46	1	3
27400	47	1	2
27450	45	1	4
27500	44	0	6
27550	41	2	7
27600	48	0	2
27650	43	1	6
27700	46	0	4
27750	46	0	4
27800	45	2	3
27850	47	3	0
27900	46	0	4
27950	45	3	2
28000	44	1	5
28050	42	1	7
28100	45	2	3
28150	48	1	1
28200	44	0	6
28250	45	0	5
28300	48	1	1
28350	43	2	5
28400	40	3	7
28450	45	0	5
28500	45	0	5
28550	47	1	2
28600	43	3	4
28650	46	0	4
28700	46	3	1
28750	45	1	4
28800	46	1	3
28850	47	0	3
28900	47	0	3
28950	46	1	3
29000	45	0	5
29050	48	0	2
29100	46	1	3
29150	44	0	6
29200	48	1	1
29250	47	0	3
29300	48	0	2
29350	46	0	4
29400	46	1	3
29450	47	1	2
29500	47	1	2
29550	45	1	4
29600	45	2	3
29650	45	0	5
29700	46	1	3
29750	44	1	5
29800	41	2	7
29850	45	0	5
29900	47	1	2
29950	45	0	5
30000	49	0	1
30050	44	1	5
30100	45	2	3
30150	41	1	8
30200	48	1	1
30250	40	1	9
30300	47	1	2
30350	43	1	6
30400	41	2	7
30450	44	1	5
30500	46	2	2
30550	44	2	4
30600	46	0	4
30650	45	1	4
30700	47	0	3
30750	47	0	3
30800	45	0	5
30850	45	0	5
30900	42	5	3
30950	39	1	10
31000	44	1	5
31050	43	1	6
31100	44	0	6
31150	49	0	1
31200	45	2	3
31250	44	0	6
31300	44	3	3
31350	48	0	2
31400	45	2	3
31450	48	0	2
31500	47	0	3
31550	46	0	4
31600	40	1	9
31650	48	0	2
31700	48	0	2
31750	45	0	5
31800	48	0	2
31850	44	1	5
31900	45	1	4
31950	45	1	4
32000	43	3	4
32050	46	1	3
32100	43	2	5
32150	45	1	4
32200	43	1	6
32250	43	1	6
32300	47	2	1
32350	44	2	4
32400	49	0	1
32450	49	0	1
32500	46	0	4
32550	43	1	6
32600	47	0	3
32650	44	0	6
32700	40	1	9
32750	45	0	5
32800	45	1	4
32850	43	1	6
32900	45	0	5
32950	41	2	7
33000	43	2	5
33050	47	1	2
33100	46	0	4
33150	46	2	2
33200	44	0	6
33250	45	0	5
33300	42	1	7
33350	45	1	4
33400	45	1	4
33450	45	1	4
33500	47	0	3
33550	46	1	3
33600	46	2	2
33650	44	0	6
33700	46	1	3
33750	46	0	4
33800	45	0	5
33850	43	3	4
33900	48	0	2
33950	42	4	4
34000	45	0	5
34050	50	0	0
34100	49	1	0
34150	38	3	9
34200	42	0	8
34250	43	2	5
34300	46	0	4
34350	48	0	2
34400	43	0	7
34450	44	0	6
34500	45	3	2
34550	43	2	5
34600	48	1	1
34650	46	1	3
34700	47	1	2
34750	46	1	3
34800	44	1	5
34850	46	1	3
34900	45	1	4
34950	44	3	3
35000	48	0	2
35050	46	1	3
35100	45	0	5
35150	47	1	2
35200	41	2	7
35250	47	0	3
35300	42	1	7
35350	41	2	7
35400	45	0	5
35450	44	1	5
35500	46	1	3
35550	46	3	1
35600	48	0	2
35650	48	0	2
35700	42	0	8
35750	44	1	5
35800	40	3	7
35850	46	0	4
35900	43	1	6
35950	43	1	6
36000	41	1	8
36050	44	2	4
36100	46	0	4
36150	46	2	2
36200	46	0	4
36250	44	3	3
36300	44	3	3
36350	46	1	3
36400	43	0	7
36450	48	0	2
36500	43	2	5
36550	43	3	4
36600	49	0	1
36650	46	0	4
36700	47	0	3
36750	46	0	4
36800	46	2	2
36850	49	0	1
36900	47	1	2
36950	46	1	3
37000	39	2	9
37050	47	1	2
37100	45	0	5
37150	45	0	5
37200	49	0	1
37250	46	0	4
37300	44	1	5
37350	46	2	2
37400	45	1	4
37450	42	0	8
37500	44	2	4
37550	43	3	4
37600	45	1	4
37650	44	1	5
37700	44	1	5
37750	45	0	5
37800	45	2	3
37850	46	2	2
37900	44	0	6
37950	44	5	1
38000	46	0	4
38050	47	1	2
38100	44	2	4
38150	47	0	3
38200	43	1	6
38250	45	0	5
38300	47	1	2
38350	48	0	2
38400	45	1	4
38450	42	1	7
38500	43	0	7
38550	44	0	6
38600	47	0	3
38650	43	3	4
38700	45	2	3
38750	43	1	6
38800	42	1	7
38850	46	0	4
38900	46	1	3
38950	45	0	5
39000	46	2	2
39050	46	0	4
39100	47	0	3
39150	46	0	4
39200	47	1	2
39250	40	1	9
39300	45	1	4
39350	46	1	3
39400	44	0	6
39450	46	0	4
39500	43	3	4
39550	45	1	4
39600	47	0	3
39650	48	0	2
39700	45	2	3
39750	48	0	2
39800	47	0	3
39850	47	0	3
39900	45	0	5
39950	46	0	4
40000	44	1	5
40050	46	1	3
40100	46	1	3
40150	48	1	1
40200	46	1	3
40250	47	1	2
40300	45	1	4
40350	44	3	3
40400	47	2	1
40450	43	1	6
40500	46	0	4
40550	46	0	4
40600	46	0	4
40650	47	1	2
40700	45	2	3
40750	45	0	5
40800	44	1	5
40850	47	0	3
40900	44	1	5
40950	42	3	5
41000	43	1	6
41050	44	1	5
41100	48	1	1
41150	44	1	5
41200	47	0	3
41250	48	0	2
41300	44	1	5
