Episode	avg	min	max
0	-200.0	-200.0	-200.0
500	-200.0	-200.0	-200.0
1000	-200.0	-200.0	-200.0
1500	-200.0	-200.0	-200.0
2000	-199.78	-200.0	-165.0
2500	-199.79	-200.0	-167.0
3000	-199.808	-200.0	-169.0
3500	-199.636	-200.0	-165.0
4000	-199.748	-200.0	-164.0
4500	-199.738	-200.0	-159.0
5000	-199.352	-200.0	-158.0
5500	-199.538	-200.0	-164.0
6000	-199.832	-200.0	-161.0
6500	-199.44	-200.0	-162.0
7000	-199.776	-200.0	-168.0
7500	-198.812	-200.0	-156.0
8000	-199.25	-200.0	-159.0
8500	-199.8	-200.0	-164.0
9000	-198.698	-200.0	-153.0
9500	-198.994	-200.0	-156.0
10000	-199.148	-200.0	-160.0
10500	-198.924	-200.0	-158.0
11000	-198.552	-200.0	-155.0
11500	-199.014	-200.0	-148.0
12000	-198.308	-200.0	-154.0
12500	-199.11	-200.0	-157.0
13000	-197.942	-200.0	-155.0
13500	-199.078	-200.0	-161.0
14000	-199.556	-200.0	-156.0
14500	-199.156	-200.0	-163.0
15000	-197.872	-200.0	-155.0
15500	-198.208	-200.0	-156.0
16000	-199.406	-200.0	-159.0
16500	-198.582	-200.0	-160.0
17000	-199.318	-200.0	-162.0
17500	-199.13	-200.0	-155.0
18000	-198.476	-200.0	-155.0
18500	-198.966	-200.0	-159.0
19000	-198.624	-200.0	-156.0
19500	-199.21	-200.0	-158.0
20000	-198.534	-200.0	-159.0
20500	-198.678	-200.0	-154.0
21000	-197.854	-200.0	-151.0
21500	-198.868	-200.0	-156.0
22000	-196.902	-200.0	-151.0
22500	-197.884	-200.0	-155.0
23000	-197.876	-200.0	-155.0
23500	-198.176	-200.0	-154.0
24000	-198.604	-200.0	-149.0
24500	-197.582	-200.0	-150.0
25000	-196.462	-200.0	-152.0
25500	-198.744	-200.0	-158.0
26000	-197.892	-200.0	-153.0
26500	-198.054	-200.0	-154.0
27000	-197.514	-200.0	-153.0
27500	-197.424	-200.0	-147.0
28000	-197.246	-200.0	-155.0
28500	-195.774	-200.0	-147.0
29000	-196.88	-200.0	-152.0
